X,Y,Calc_RA,Calc_Dec,RA_Center,Dec_Center,X_Center,Y_Center,Cat_Obj_RA,Cat_Obj_Dec
258.7497810065364,-11.21334657246273,35.604288049572745,42.33008333826722,35.603094144205464,42.32847756972033,258.2446509873559,-15.717266321721246,0.0,0.0
262.7587042153144,-16.217997572703215,35.605251311105,42.32773951165508,35.603094144205464,42.32847756972033,258.2446509873559,-15.717266321721246,0.0,0.0
258.7415478099271,-20.221186070979762,35.60256960369045,42.326871801173425,35.603094144205464,42.32847756972033,258.2446509873559,-15.717266321721246,0.0,0.0
253.73059775939737,-16.2178319088956,35.600936977305935,42.32899824280378,35.603094144205464,42.32847756972033,258.2446509873559,-15.717266321721246,0.0,0.0
264.4513283627135,-89.63562241951684,35.59209027646535,42.301319942248234,35.59305794373851,42.30163426391423,265.90056474055825,-88.18734507122022,35.593036148983956,42.30164667270956
264.4514849702177,-86.73900925334446,35.59264150045009,42.3023527781076,35.59305794373851,42.30163426391423,265.90056474055825,-88.18734507122022,35.593036148983956,42.30164667270956
267.34890383368804,-86.73906772292362,35.59402561101166,42.30194902064542,35.59305794373851,42.30163426391423,265.90056474055825,-88.18734507122022,35.593036148983956,42.30164667270956
267.349801118403,-89.63568088909598,35.5934748718101,42.30091574972086,35.59305794373851,42.30163426391423,265.90056474055825,-88.18734507122022,35.593036148983956,42.30164667270956
324.85634100386125,-65.65853117398575,35.62550680346446,42.30144797996066,35.62647524098292,42.30176211763017,326.30626056001427,-64.20992717991763,35.62648604541072,42.30177173890051
324.8581370632726,-62.76126471627034,35.626059483627266,42.30248065931494,35.62647524098292,42.30176211763017,326.30626056001427,-64.20992717991763,35.62648604541072,42.30177173890051
327.75618011616723,-62.76132318584951,35.62744367850137,42.30207641340025,35.62647524098292,42.30176211763017,326.30626056001427,-64.20992717991763,35.62648604541072,42.30177173890051
327.7534514220296,-65.65858964356492,35.626890534220934,42.3010435759454,35.62647524098292,42.30176211763017,326.30626056001427,-64.20992717991763,35.62648604541072,42.30177173890051
388.31689072539257,-29.658739150258306,35.66267418865878,42.30542619819589,35.66364216163384,42.30574004596992,389.7654901961012,-28.21046180196172,35.66364294158951,42.3057598214994
388.31623577469276,-26.762125984085984,35.66322587155805,42.30645880736748,35.66364216163384,42.30574004596992,389.7654901961012,-28.21046180196172,35.66364294158951,42.3057598214994
391.21474461750967,-26.762184453665135,35.6646101346089,42.30605404984005,35.66364216163384,42.30574004596992,389.7654901961012,-28.21046180196172,35.66364294158951,42.3057598214994
391.2144534604285,-29.658797619837458,35.66405798091571,42.305021284572355,35.66364216163384,42.30574004596992,389.7654901961012,-28.21046180196172,35.66364294158951,42.3057598214994
218.35232447022318,159.63546021519255,35.61751825904439,42.396643480847786,35.61828847905176,42.396587757395324,219.79922842256434,160.04508427194605,0.0,0.0
218.34830798392395,160.45476679827874,35.61767248531854,42.3969361502024,35.61828847905176,42.396587757395324,219.79922842256434,160.04508427194605,0.0,0.0
221.246105428796,160.45470832869958,35.61905869905913,42.39653203583718,35.61828847905176,42.396587757395324,219.79922842256434,160.04508427194605,0.0,0.0
221.25014886120474,159.6354017456134,35.618904480215065,42.39623936458825,35.61828847905176,42.396587757395324,219.79922842256434,160.04508427194605,0.0,0.0
239.1521127908137,-60.03471641807396,35.585633541473804,42.31540280030995,35.5866019558618,42.31571773540312,240.6021116119803,-58.585612424005824,35.586656074259395,42.31569484955015
239.15372826602598,-57.13644996035853,35.586185447084596,42.31643634855145,35.5866019558618,42.31571773540312,240.6021116119803,-58.585612424005824,35.586656074259395,42.31569484955015
242.05211043314688,-57.13650842993769,35.58757037024979,42.31603223895079,35.5866019558618,42.31571773540312,240.6021116119803,-58.585612424005824,35.586656074259395,42.31569484955015
242.04956232320842,-60.034774887653114,35.58701799925642,42.3149991222548,35.5866019558618,42.31571773540312,240.6021116119803,-58.585612424005824,35.586656074259395,42.31569484955015
203.53380717320968,120.29514874681581,35.602932589396445,42.38468164001031,35.603902038858585,42.384996488817244,204.9833248890092,121.74395532990198,35.60385816285054,42.38497756907507
203.53458440539285,123.19276191298813,35.603485209777965,42.385714989507626,35.603902038858585,42.384996488817244,204.9833248890092,121.74395532990198,35.60385816285054,42.38497756907507
206.4328426048087,123.19270344340899,35.60487148832073,42.38531098190725,35.603902038858585,42.384996488817244,204.9833248890092,121.74395532990198,35.60385816285054,42.38497756907507
206.4321192648446,120.29609027723664,35.60431906495826,42.38427798812686,35.603902038858585,42.384996488817244,204.9833248890092,121.74395532990198,35.60385816285054,42.38497756907507
280.86256447707876,15.888712765733684,35.62001653129313,42.33666481594345,35.620934798084875,42.33875874247058,280.49996797034464,21.618775488779768,0.0,0.0
280.8626065018883,27.348818721966133,35.6221995728227,42.34075152935449,35.620934798084875,42.33875874247058,280.49996797034464,21.618775488779768,0.0,0.0
280.13744781092095,27.34883821182585,35.621852735611704,42.34085266899771,35.620934798084875,42.33875874247058,280.49996797034464,21.618775488779768,0.0,0.0
280.13732943880103,15.888732255593402,35.61967002334705,42.336765959853466,35.620934798084875,42.33875874247058,280.49996797034464,21.618775488779768,0.0,0.0
295.249340928211,139.54973554729682,35.65046577231064,42.378752299137204,35.65193300582779,42.3818669614268,294.88880462563634,148.14407991827875,0.0,0.0
295.25252981262577,156.73841454433088,35.65374646629859,42.38488066436534,35.65193300582779,42.3818669614268,294.88880462563634,148.14407991827875,0.0,0.0
294.5293222152809,156.7384242892607,35.65340071476309,42.384981623716406,35.65193300582779,42.3818669614268,294.88880462563634,148.14407991827875,0.0,0.0
